Datetime,Group,People
2023-07-02 20:48:03+00:00,FITNESS,3
2023-07-02 20:48:03+00:00,PŁYWALNIA,38
2023-07-02 20:48:03+00:00,SAUNA,3
2023-07-02 20:48:03+00:00,SIŁOWNIA,2
2023-07-02 20:48:15+00:00,FITNESS,3
2023-07-02 20:48:15+00:00,PŁYWALNIA,38
2023-07-02 20:48:15+00:00,SAUNA,3
2023-07-02 20:48:15+00:00,SIŁOWNIA,2
2023-07-02 20:51:36+00:00,FITNESS,3
2023-07-02 20:51:36+00:00,PŁYWALNIA,34
2023-07-02 20:51:36+00:00,SAUNA,3
2023-07-02 20:51:36+00:00,SIŁOWNIA,2
2023-07-02 20:52:26+00:00,FITNESS,3
2023-07-02 20:52:26+00:00,PŁYWALNIA,33
2023-07-02 20:52:26+00:00,SAUNA,3
2023-07-02 20:52:26+00:00,SIŁOWNIA,2
2023-07-02 20:52:43+00:00,FITNESS,3
2023-07-02 20:52:43+00:00,PŁYWALNIA,33
2023-07-02 20:52:43+00:00,SAUNA,3
2023-07-02 20:52:43+00:00,SIŁOWNIA,2
2023-07-02 20:53:17+00:00,FITNESS,3
2023-07-02 20:53:17+00:00,PŁYWALNIA,32
2023-07-02 20:53:17+00:00,SAUNA,3
2023-07-02 20:53:17+00:00,SIŁOWNIA,2
2023-07-02 20:58:17+00:00,FITNESS,3
2023-07-02 20:58:17+00:00,PŁYWALNIA,31
2023-07-02 20:58:17+00:00,SAUNA,3
2023-07-02 20:58:17+00:00,SIŁOWNIA,2
2023-07-02 20:59:48+00:00,FITNESS,3
2023-07-02 20:59:48+00:00,PŁYWALNIA,31
2023-07-02 20:59:48+00:00,SAUNA,3
2023-07-02 20:59:48+00:00,SIŁOWNIA,2
