Datetime,Group,People
2023-08-02 18:36:41+00:00,FITNESS,4
2023-08-02 18:36:41+00:00,PŁYWALNIA,105
2023-08-02 18:36:41+00:00,SAUNA,13
2023-08-02 18:36:41+00:00,SIŁOWNIA,3
2023-08-02 18:37:13+00:00,FITNESS,4
2023-08-02 18:37:13+00:00,PŁYWALNIA,106
2023-08-02 18:37:13+00:00,SAUNA,13
2023-08-02 18:37:13+00:00,SIŁOWNIA,3
2023-08-02 18:42:13+00:00,FITNESS,4
2023-08-02 18:42:13+00:00,PŁYWALNIA,117
2023-08-02 18:42:13+00:00,SAUNA,11
2023-08-02 18:42:13+00:00,SIŁOWNIA,3
2023-08-02 18:47:13+00:00,FITNESS,4
2023-08-02 18:47:13+00:00,PŁYWALNIA,108
2023-08-02 18:47:13+00:00,SAUNA,12
2023-08-02 18:47:13+00:00,SIŁOWNIA,3
2023-08-02 18:52:14+00:00,FITNESS,4
2023-08-02 18:52:14+00:00,PŁYWALNIA,114
2023-08-02 18:52:14+00:00,SAUNA,9
2023-08-02 18:52:14+00:00,SIŁOWNIA,2
2023-08-02 18:57:14+00:00,FITNESS,4
2023-08-02 18:57:14+00:00,PŁYWALNIA,111
2023-08-02 18:57:14+00:00,SAUNA,10
2023-08-02 18:57:14+00:00,SIŁOWNIA,2
2023-08-02 19:02:14+00:00,FITNESS,4
2023-08-02 19:02:14+00:00,PŁYWALNIA,105
2023-08-02 19:02:14+00:00,SAUNA,12
2023-08-02 19:02:14+00:00,SIŁOWNIA,2
2023-08-02 19:07:14+00:00,FITNESS,4
2023-08-02 19:07:14+00:00,PŁYWALNIA,96
2023-08-02 19:07:14+00:00,SAUNA,12
2023-08-02 19:07:14+00:00,SIŁOWNIA,2
2023-08-02 19:12:15+00:00,FITNESS,4
2023-08-02 19:12:15+00:00,PŁYWALNIA,93
2023-08-02 19:12:15+00:00,SAUNA,12
2023-08-02 19:12:15+00:00,SIŁOWNIA,2
2023-08-02 19:17:15+00:00,FITNESS,4
2023-08-02 19:17:15+00:00,PŁYWALNIA,91
2023-08-02 19:17:15+00:00,SAUNA,11
2023-08-02 19:17:15+00:00,SIŁOWNIA,2
2023-08-02 19:22:15+00:00,FITNESS,4
2023-08-02 19:22:15+00:00,PŁYWALNIA,90
2023-08-02 19:22:15+00:00,SAUNA,11
2023-08-02 19:22:15+00:00,SIŁOWNIA,1
2023-08-02 19:27:15+00:00,FITNESS,4
2023-08-02 19:27:15+00:00,PŁYWALNIA,90
2023-08-02 19:27:15+00:00,SAUNA,11
2023-08-02 19:27:15+00:00,SIŁOWNIA,1
2023-08-02 19:32:16+00:00,FITNESS,4
2023-08-02 19:32:16+00:00,PŁYWALNIA,94
2023-08-02 19:32:16+00:00,SAUNA,9
2023-08-02 19:32:16+00:00,SIŁOWNIA,2
2023-08-02 19:37:16+00:00,FITNESS,4
2023-08-02 19:37:16+00:00,PŁYWALNIA,91
2023-08-02 19:37:16+00:00,SAUNA,9
2023-08-02 19:37:16+00:00,SIŁOWNIA,2
2023-08-02 19:42:16+00:00,FITNESS,4
2023-08-02 19:42:16+00:00,PŁYWALNIA,90
2023-08-02 19:42:16+00:00,SAUNA,10
2023-08-02 19:42:16+00:00,SIŁOWNIA,3
2023-08-02 19:47:16+00:00,FITNESS,4
2023-08-02 19:47:16+00:00,PŁYWALNIA,88
2023-08-02 19:47:16+00:00,SAUNA,12
2023-08-02 19:47:16+00:00,SIŁOWNIA,3
2023-08-02 19:52:16+00:00,FITNESS,4
2023-08-02 19:52:16+00:00,PŁYWALNIA,86
2023-08-02 19:52:16+00:00,SAUNA,12
2023-08-02 19:52:16+00:00,SIŁOWNIA,3
2023-08-02 19:57:17+00:00,FITNESS,4
2023-08-02 19:57:17+00:00,PŁYWALNIA,86
